tweet, label
Will Trump Nuke North Korea Breaking News Today North Korea News Today https://t.co/wHpfo3WUE5,Negative
Trump invites #Philippines’ Duterte to Washington in ‘friendly’ call that broached North Korea…… https://t.co/pPyq0rPAVE,Positive
Trump says China pressuring North Korea on missile, nukes: President Donald Trump said in a… https://t.co/4VyPd33BB2,Negative
RT @armyofMAGA: RETWEET if you agree that President Trump and Secretary of State Tillerson are doing a great job of containing North Korea!…,Positive
RT @MDBlanchfield: Donald Trump Has Zero Legal Authority to Order Military Action Against North Korea | The Nation https://t.co/Oq70JFvucp…,Positive
US's President invited Philippines leader Rodrigo Duterte to White House during a phone call concerning North Korea. https://t.co/AN0ZFPkTEd,Negative
RT @NBCNews: President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/oQNklj7keT https://t.co/CxhMK7EFo2,Positive
RT @MJcayabyabINQ: Duterte says he plans to tell US Pres Trump in a phone call tonight to ensure there will be no war with North Korea @inq…,Negative
@rrbruni1 @Brooke_Babineau @ElleDiablo666 @HalperLaurie @AMeisner32 @PaytonPike @MollyJongFast @improbablyjust… https://t.co/cQk3A5fT89,Negative
RT @TDPattillo: Trump's "Loyalty Day" sounds a lot like something they would have in North Korea. #LoyaltyDay,Negative
Trump leaves door open for military action https://t.co/JIDvw0Z944 #news #feedly,Negative
RT @cnnphilippines: Duterte appeals to Trump: Keep restraint over North Korea https://t.co/gO79MHxjG3,Negative
Trump leaves door open for military action against North Korea
https://t.co/Ry813Pu26w,Negative
RT @CNNPolitics: Sen. Chris Coons slams President Trump’s North Korea tweet: “This is no longer reality TV” https://t.co/kwfh5OxBKK https:/…,Negative
RT @cnnphilippines: READ: White House’s readout of U.S. Pres. Donald Trump's call with Pres. Rodrigo Duterte https://t.co/gO79MHfIht https:…,Negative
RT @CBSNews: In @jdickerson @CBSNews interview, Trump won't rule out military action if North Korea conducts another nuclear test https://t…,Negative
Trump: "I will not be happy" if North Korea conducts another nuclear test https://t.co/kjxARa233F #News,Positive
RT @cnnphilippines: READ: White House’s readout of U.S. Pres. Donald Trump's call with Pres. Rodrigo Duterte https://t.co/gO79MHfIht https:…,Negative
Will Trump Nuke North Korea Breaking News Today North Korea News Today https://t.co/EACL0WKoe5,Negative
RT @japantimes: Trump invites Philippines' Duterte to Washington in 'friendly' call that broached North Korea threat https://t.co/HvIxuPjMMd,Positive
US warship sails within ‘striking distance’ of North Korea as Donald Trump slams tyrant Kim Jong Un’s failed ballis… https://t.co/6PZuP1heWW,Negative
RT @TimothyS: Bernie Sanders is now to the right of South Korea's most fascistic, militarist politicians. That's quite a feat. https://t.co…,Positive
RT @CNN: “I would not be happy if he does a nuclear test”: Pres. Trump leaves door open for military action against N. Korea https://t.co/v…,Positive
RT @ProSyn: What do the conflicts in Syria, Afghanistan, and North Korea have in common? They can't be solved by military alone https://t.c…,Negative
Will Trump Nuke North Korea Breaking News Today North Korea News Today https://t.co/LNbNL01N6i,Negative
RT @CBSNews: In @jdickerson @CBSNews interview, Trump won't rule out military action if North Korea conducts another nuclear test https://t…,Negative
RT @yceek: Bernie Sanders: Trump isn't leading US toward war with North Korea https://t.co/TSM4UH0WzV,Negative
RT @ProSyn: What do the conflicts in Syria, Afghanistan, and North Korea have in common? They can't be solved by military alone https://t.c…,Negative
RT @Mbcpolitics1: Knock! Knock! 🇺🇸🇺🇸🇺🇸US warship sails within ‘striking distance’ https://t.co/NeuXh02EMA,Positive
Trump says China pressuring North Korea on missile, nukes - President Donald Trump said in a television intervi... https://t.co/qU0kAOQ75o,Negative
In jdickerson CBSNews interview, Trump won't rule out military action if North Korea conducts another nuclear tes… https://t.co/R2EvbMLYTR,Negative
‘Pressure Not Working?’: CBS’ Dickerson Asks Trump About North Korea’s Missile Tests https://t.co/mwLTllxyZ7,Negative
RT @Daily_Express: Trump ‘preparing SHOW OF FORCE’ after North Korea's latest missile test, official claims https://t.co/etzOJPDeqi https:/…,Positive
RT @KimDozier: Trump says China pressuring North Korea on missile, nukes (from @AP) https://t.co/txL7sfD1Wx,Negative
RT @NBCNews: President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/oQNklj7keT https://t.co/CxhMK7EFo2,Positive
RT @NBCNews: President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/oQNklj7keT https://t.co/CxhMK7EFo2,Positive
Trump says #China pressuring North Korea on missile, nukes: SEOUL, South Korea — President… https://t.co/eAdJ7SBNRU,Negative
RT @FionaAdorno: If you feel safe as innocent people are deported &amp; Trump baits North Korea-there is no hope for you #saturdaymorning https…,Positive
Trump: 'I will not be happy' if North Korea conducts nuke test https://t.co/i1xDjrsWzB #worldnews #news #breakingnews,Positive
US warship sails within ‘striking distance’ of North Korea as Donald Trump prepares ‘show of force’ after Kim Jong Un’s failed ballistic mi…,Negative
Trump believes China has been putting pressure on North Korea as it pursues missile and nuclear weapons programs. https://t.co/YftmOBy6ks,Negative
📢 #TRUMP 
believes China putting pressure on North Korea as it pursues missile and nuclear weapons. https://t.co/v53pg0u0sI
#KRTpro #News,Negative
President Trump Warns of 'Major, Major Conflict With North Korea' https://t.co/dUV6Rn31p0 via @YahooFinance,Positive
RT @NBCNews: President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/oQNklj7keT https://t.co/CxhMK7EFo2,Positive
RT @EoinHiggins_: In the last two weeks Sanders has called for regime change in Syria, praised Trump's North Korea policy, defended Ann Cou…,Negative
For those of you who think it's cute Trump is taunting North Korea about missiles... https://t.co/fzSVMkOLoC,Positive
RT @CNNSitRoom: President Trump leaves the door open for military action against North Korea https://t.co/CcxmVJBnwM https://t.co/6xDFPGY6c1,Negative
RT @kylegriffin1: TRUMP: If he does a nuclear test, I will not be happy.
JD: 'Not happy' mean military action?
TRUMP: I don't know.
https:/…,Positive
Donald Trump is getting less popular on Twitter https://t.co/8TRwbb7S23,Positive
RT @EoinHiggins_: In the last two weeks Sanders has called for regime change in Syria, praised Trump's North Korea policy, defended Ann Cou…,Negative
https://t.co/kzndg2h1Ri North Korea Launches Missile in First Test Since Trump Took Office https://t.co/41j6hvcZ76,Positive
@AWAKEALERT @21WIRE @Partisangirl @ndtv @thecommonseshow Oh, it's obvious know why Trump is peeing in his pants abo… https://t.co/g0PTixCXeX,Negative
There may be sensible method to the madness of team Trump's approach to North Korea https://t.co/A2MqKH8vuf,Negative
RT @NBCNews: President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/oQNklj7keT https://t.co/CxhMK7EFo2,Positive
RT @lbcbreaking: The Pope says he's willing to meet President Trump next month, saying the situation in North Korea has become "too hot".,Positive
RT @BenHowe: Is this the cause of the major conflict in North Korea that Trump was warning is coming? https://t.co/1dGoqgReIr,Positive
Donald Trump's KILLER drone squad capable of wiping out North Korea in WW3 - Daily Star https://t.co/UrlpNQgTKF #conspiracy #conspiracynews,Positive
Senator: Trump won't let North Korea build missile to reach US https://t.co/zj9bhsJOb3,Negative
RT @EoinHiggins_: In the last two weeks Sanders has called for regime change in Syria, praised Trump's North Korea policy, defended Ann Cou…,Negative
RT @EoinHiggins_: In the last two weeks Sanders has called for regime change in Syria, praised Trump's North Korea policy, defended Ann Cou…,Negative
Will Trump Nuke North Korea Breaking News Today North Korea News Today https://t.co/sa0dPRjXFx,Negative
NBCNews: President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/1bGLH6vg9F https://t.co/DGMjuC07ha,Positive
RT @NBCNews: President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/oQNklj7keT https://t.co/CxhMK7EFo2,Positive
Trump: North Korea disrespected China with missile test - Daily Mail https://t.co/WATsbFHYdu #WePostNews,Negative
Bernie Sanders: Trump isn't leading US toward war with North Korea https://t.co/VSHjInus2g,Negative
RT @armyofMAGA: RETWEET if you agree that President Trump and Secretary of State Tillerson are doing a great job of containing North Korea!…,Positive
Harmadik világháború: Evakuálják az amerikai állampolgárokat Kelet-Ázsiából...230.000 amerikai állampolgárt... https://t.co/iQdIQtDYfD,Negative
Bernie Sanders: Trump isn't leading US toward war with North Korea https://t.co/TSM4UH0WzV,Negative
Trump leaves door open for military action against North Korea https://t.co/y4DN3C44dk https://t.co/PAj3oi6kFL,Negative
RT @EoinHiggins_: In the last two weeks Sanders has called for regime change in Syria, praised Trump's North Korea policy, defended Ann Cou…,Negative
U.S. President Donald Trump on Saturday invited his Philippine counterpart Rodrigo Duterte to Washington in a “f... https://t.co/bUsk9iBCrt,Negative
After his first 100 days, we should fear Trump more than ever https://t.co/RbkrVGcKEL,Positive
President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/v3IokP7hcJ https://t.co/k1QhL53LBS,Positive
RT @cnnphilippines: READ: White House’s readout of U.S. Pres. Donald Trump's call with Pres. Rodrigo Duterte https://t.co/gO79MHfIht https:…,Negative
RT @japantimes: Trump invites Philippines' Duterte to Washington in 'friendly' call that broached North Korea threat https://t.co/pUOo3hAzo…,Positive
RT @NBCNews: President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/oQNklj7keT https://t.co/CxhMK7EFo2,Positive
RT @NBCNews: President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/oQNklj7keT https://t.co/CxhMK7EFo2,Positive
RT @CBSNews: In @jdickerson @CBSNews interview, Trump won't rule out military action if North Korea conducts another nuclear test https://t…,Negative
RT @nuiotwo: Donald Trump is getting less popular on Twitter https://t.co/R0UdqqPe57,Positive
RT @ryanhubris: @FoxNews @POTUS @realDonaldTrump Great trump for starting war with the media, North Korea and the majority of Americans who…,Positive
@nhk_news When President Trump spares Japan &amp; South Korea from north korea then will you drop your stupid liberal ideology??,Negative
RT @NBCNews: President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/oQNklj7keT https://t.co/CxhMK7EFo2,Positive
Will Trump Nuke North Korea Breaking News Today North Korea News Today https://t.co/NFng9SFwwV,Negative
@Impeach_D_Trump Really surprising that he isn't trying to get North Korea to pay for S.Korean missile defense.,Positive
RT @NBCNews: President Trump: "I will not be happy" if North Korea conducts nuke test https://t.co/oQNklj7keT https://t.co/CxhMK7EFo2,Positive
